path,recommended_location,owner,category,owner_confidence,category_confidence,risk
04-Products/DocFlow.md,Businesses/Product/DocFlow.md,Business,Product,0.87,0.87,Low
04-Products/EchoKeys.md,Businesses/Product/EchoKeys.md,Business,Product,0.98,0.98,Low
04-Products/Floating-AI-Tutor.md,Businesses/Product/Floating-AI-Tutor.md,Business,Product,0.95,0.95,Low
04-Products/Hermes-Gateway.md,AI-Systems/Uncertain/Hermes-Gateway.md,AI System,Uncertain,0.95,0.0,High
04-Products/NOLA-Voice.md,Businesses/Product/NOLA-Voice.md,Business,Product,0.98,0.98,Low
04-Products/Personal-AI-Operator.md,AI-Systems/SOP/Personal-AI-Operator.md,AI System,SOP,0.98,0.98,Low
04-Products/Products.md,Businesses/Product/Products.md,Business,Product,0.98,0.98,Low
04-Products/Whisper-Pro.md,Businesses/Product/Whisper-Pro.md,Business,Product,0.98,0.98,Low
05-Career/Business-Analyst-Path.md,Titus-Vault/Career/Business-Analyst-Path.md,Titus,Career,0.98,0.98,Low
05-Career/Career.md,Titus-Vault/Career/Career.md,Titus,Career,0.98,0.98,Low
05-Career/Certifications.md,Titus-Vault/Certification/Certifications.md,Titus,Certification,0.98,0.98,Low
05-Career/Education.md,Review-Queue/Education/Education.md,Uncertain,Education,0.0,0.98,High
05-Career/Job-Search.md,Titus-Vault/Career/Job-Search.md,Titus,Career,0.98,0.98,Low
05-Career/LinkedIn-Strategy.md,Titus-Vault/Career/LinkedIn-Strategy.md,Titus,Career,0.98,0.98,Low
05-Career/Portfolio.md,Titus-Vault/Project/Portfolio.md,Titus,Project,0.98,0.98,Low
05-Career/Resume.md,Titus-Vault/Career/Resume.md,Titus,Career,0.98,0.98,Low
06-Projects/AeroCardia.md,Titus-Vault/Uncertain/AeroCardia.md,Titus,Uncertain,0.98,0.0,High
06-Projects/Bonolo-Book-Marketing.md,Review-Queue/Business/Bonolo-Book-Marketing.md,Uncertain,Business,0.0,0.98,High
06-Projects/Local-Business-AI-Services.md,Review-Queue/Business/Local-Business-AI-Services.md,Uncertain,Business,0.0,0.98,High
06-Projects/Ministry-Return.md,Review-Queue/Project/Ministry-Return.md,Uncertain,Project,0.0,0.95,High
06-Projects/PM-Portfolio.md,Titus-Vault/Project/PM-Portfolio.md,Titus,Project,0.98,0.98,Low
06-Projects/Projects.md,Titus-Vault/Project/Projects.md,Titus,Project,0.95,0.98,Low
07-SOPs/SOPs-Index.md,Review-Queue/SOP/SOPs-Index.md,Uncertain,SOP,0.0,0.98,High
08-Agents/Agents-Index.md,AI-Systems/AI Agent/Agents-Index.md,AI System,AI Agent,0.98,0.98,Low
08-Agents/Hermes-Agent.md,Titus-Vault/Career/Hermes-Agent.md,Titus,Career,0.98,0.98,Low
09-Knowledge/Knowledge-Index.md,Reference-Library/Knowledge/Knowledge-Index.md,Reference Library,Knowledge,0.98,0.98,Low
10-Archive/Archive-Index.md,Archive/Archive/Archive-Index.md,Archive,Archive,0.98,0.98,Low
11-Templates/Daily-Note-Template.md,Review-Queue/Knowledge/Daily-Note-Template.md,Uncertain,Knowledge,0.0,0.79,High
11-Templates/Master-Note-Template.md,Review-Queue/Knowledge/Master-Note-Template.md,Uncertain,Knowledge,0.0,0.95,High
11-Templates/SOP-Template.md,Review-Queue/SOP/SOP-Template.md,Uncertain,SOP,0.0,0.95,High
11-Templates/Templates-Index.md,Review-Queue/Template/Templates-Index.md,Uncertain,Template,0.0,0.98,High
12-Reference/Books.md,Reference-Library/Reference/Books.md,Reference Library,Reference,0.98,0.98,Low
12-Reference/Courses.md,Reference-Library/Education/Courses.md,Reference Library,Education,0.87,0.98,Low
12-Reference/Papers.md,Reference-Library/Reference/Papers.md,Reference Library,Reference,0.98,0.98,Low
12-Reference/People.md,Review-Queue/Career/People.md,Uncertain,Career,0.0,0.95,High
12-Reference/Reference-Index.md,Reference-Library/Reference/Reference-Index.md,Reference Library,Reference,0.98,0.98,Low
10-Archive/Staging/Decisions/Memory-Architecture.md,AI-Systems/AI Agent/Memory-Architecture.md,AI System,AI Agent,0.87,0.79,Low
10-Archive/Staging/Decisions/Platform-Separation.md,AI-Systems/Uncertain/Platform-Separation.md,AI System,Uncertain,0.95,0.0,High
10-Archive/Staging/OBSIDIAN-AI-OS/00-Dashboard.md,AI-Systems/Uncertain/00-Dashboard.md,AI System,Uncertain,0.98,0.0,High
10-Archive/Staging/Troubleshooting/Bot-Setup-Mismatch.md,Review-Queue/Project/Bot-Setup-Mismatch.md,Uncertain,Project,0.0,0.71,High
10-Archive/Staging/Troubleshooting/Command-Center-Build-Lock.md,Businesses/Business/Command-Center-Build-Lock.md,Business,Business,0.71,0.71,Medium
10-Archive/Staging/Troubleshooting/DocFlow-Recursion.md,Archive/Archive/DocFlow-Recursion.md,Archive,Archive,0.63,0.63,Medium
10-Archive/Staging/Troubleshooting/Token-Safety.md,Review-Queue/Uncertain/Token-Safety.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Staging/Troubleshooting/Windows-Git-Path-Length.md,Archive/Archive/Windows-Git-Path-Length.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/act-when-ready/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/analytics-metrics/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/api-design/SKILL.md,Reference-Library/Reference/SKILL.md,Reference Library,Reference,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/article-writing/SKILL.md,Review-Queue/Certification/SKILL.md,Uncertain,Certification,0.0,0.95,High
10-Archive/Legacy-Skills/skills/autonomous-continuation/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/aws-account-management/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/aws-agentcore/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/aws-strands/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/backend-patterns/SKILL.md,Reference-Library/Reference/SKILL.md,Reference Library,Reference,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/brand-voice/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/bun/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/business-ops-experts/SKILL.md,Businesses/Business/SKILL.md,Business,Business,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/cinematic-scrub-landing/SKILL.md,Businesses/Product/SKILL.md,Business,Product,0.87,0.87,Low
10-Archive/Legacy-Skills/skills/cloudflare/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/coding-standards/SKILL.md,Archive/Project/SKILL.md,Archive,Project,0.71,0.79,Medium
10-Archive/Legacy-Skills/skills/content-engine/SKILL.md,Review-Queue/Career/SKILL.md,Uncertain,Career,0.0,0.87,High
10-Archive/Legacy-Skills/skills/context-budget/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/continuous-learning-v2/SKILL.md,AI-Systems/Project/SKILL.md,AI System,Project,0.87,0.98,Low
10-Archive/Legacy-Skills/skills/copilot-docs/SKILL.md,Archive/Project/SKILL.md,Archive,Project,0.71,0.79,Medium
10-Archive/Legacy-Skills/skills/copilot-sdk/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/database-migrations/SKILL.md,Businesses/Product/SKILL.md,Business,Product,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/deep-research/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/django-patterns/SKILL.md,Businesses/Product/SKILL.md,Business,Product,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/docker-patterns/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/documentation-lookup/SKILL.md,Reference-Library/Project/SKILL.md,Reference Library,Project,0.98,0.79,Low
10-Archive/Legacy-Skills/skills/effort-calibrator/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/error-handling/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/eval-harness/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.95,Low
10-Archive/Legacy-Skills/skills/fal-ai/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/fastapi-patterns/SKILL.md,Businesses/Project/SKILL.md,Business,Project,0.87,0.87,Low
10-Archive/Legacy-Skills/skills/feynman-alpha-research/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/feynman-autoresearch/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/feynman-contributing/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/feynman-deep-research/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/feynman-docker/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/feynman-eli5/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-jobs/SKILL.md,Titus-Vault/Career/SKILL.md,Titus,Career,0.95,0.95,Low
10-Archive/Legacy-Skills/skills/feynman-literature-review/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-ml-training-recipe/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-modal-compute/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/feynman-paper-code-audit/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-paper-writing/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-peer-review/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.79,0.0,High
10-Archive/Legacy-Skills/skills/feynman-preview/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/feynman-replication/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-runpod-compute/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/feynman-session-log/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/feynman-session-search/SKILL.md,Review-Queue/Archive/SKILL.md,Uncertain,Archive,0.0,0.71,High
10-Archive/Legacy-Skills/skills/feynman-source-comparison/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/feynman-watch/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/figma/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/frontend-patterns/SKILL.md,Family-Vault/Archive/SKILL.md,Shared Family,Archive,0.98,0.71,Medium
10-Archive/Legacy-Skills/skills/frontend-slides/animation-patterns.md,Review-Queue/Uncertain/animation-patterns.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/frontend-slides/html-template.md,Archive/Uncertain/html-template.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/frontend-slides/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/frontend-slides/STYLE_PRESETS.md,Archive/Archive/STYLE_PRESETS.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/git-workflow/SKILL.md,Businesses/SOP/SKILL.md,Business,SOP,0.79,0.95,Low
10-Archive/Legacy-Skills/skills/github-trending/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/google-workspace-cli/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.98,0.0,High
10-Archive/Legacy-Skills/skills/graphify/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.87,0.0,High
10-Archive/Legacy-Skills/skills/grounded-progress/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/honest-agent/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/investor-materials/SKILL.md,Review-Queue/Business/SKILL.md,Uncertain,Business,0.0,0.79,High
10-Archive/Legacy-Skills/skills/iterative-retrieval/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/kubernetes-patterns/SKILL.md,Businesses/Uncertain/SKILL.md,Business,Uncertain,0.98,0.0,High
10-Archive/Legacy-Skills/skills/langchain/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/local-llm-router/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/markdown-memory/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.79,0.79,Low
10-Archive/Legacy-Skills/skills/market-research/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/mcp-server-patterns/SKILL.md,AI-Systems/Reference/SKILL.md,AI System,Reference,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/mermaid-diagrams/SKILL.md,Review-Queue/Finance/SKILL.md,Uncertain,Finance,0.0,0.95,High
10-Archive/Legacy-Skills/skills/meta-ads/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/mobile-responsiveness/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/mongodb/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/nano-banana-pro/SKILL.md,AI-Systems/Archive/SKILL.md,AI System,Archive,0.87,0.71,Medium
10-Archive/Legacy-Skills/skills/nextjs-turbopack/SKILL.md,Businesses/Project/SKILL.md,Business,Project,0.95,0.87,Low
10-Archive/Legacy-Skills/skills/no-gold-plating/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/obsidian-mind/SKILL.md,Archive/Knowledge/SKILL.md,Archive,Knowledge,0.71,0.98,Medium
10-Archive/Legacy-Skills/skills/owasp-security/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/parallax-landing-page/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.87,0.0,High
10-Archive/Legacy-Skills/skills/personal-ai-operator/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.95,Low
10-Archive/Legacy-Skills/skills/python-patterns/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/railway/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/react-patterns/SKILL.md,Archive/Uncertain/SKILL.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/regrounding-summary/SKILL.md,Review-Queue/Uncertain/SKILL.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/scope-guard/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/search-first/SKILL.md,Review-Queue/Research/SKILL.md,Uncertain,Research,0.0,0.95,High
10-Archive/Legacy-Skills/skills/security-review/cloud-infrastructure-security.md,Reference-Library/Reference/cloud-infrastructure-security.md,Reference Library,Reference,0.79,0.79,Low
10-Archive/Legacy-Skills/skills/security-review/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/security-scan/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/self-skill-builder/SKILL.md,Archive/SOP/SKILL.md,Archive,SOP,0.71,0.98,Medium
10-Archive/Legacy-Skills/skills/shabbat-times/SKILL.md,Archive/Daily Note/SKILL.md,Archive,Daily Note,0.71,0.79,Medium
10-Archive/Legacy-Skills/skills/skill-refactorer/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.95,0.95,Low
10-Archive/Legacy-Skills/skills/strategic-compact/SKILL.md,Reference-Library/Research/SKILL.md,Reference Library,Research,0.95,0.87,Low
10-Archive/Legacy-Skills/skills/subagent-orchestration/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/tdd-workflow/SKILL.md,Archive/SOP/SKILL.md,Archive,SOP,0.71,0.98,Medium
10-Archive/Legacy-Skills/skills/token-budget-advisor/SKILL.md,AI-Systems/Finance/SKILL.md,AI System,Finance,0.79,0.98,Low
10-Archive/Legacy-Skills/skills/ux-design-systems/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/vercel/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/verification-loop/SKILL.md,Archive/Project/SKILL.md,Archive,Project,0.71,0.79,Medium
10-Archive/Legacy-Skills/skills/video-edit/README.md,AI-Systems/AI Agent/README.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/video-edit/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.87,0.0,High
10-Archive/Legacy-Skills/skills/video-to-landing-page/SKILL.md,AI-Systems/Project/SKILL.md,AI System,Project,0.79,0.98,Low
10-Archive/Legacy-Skills/skills/web-accessibility/SKILL.md,Businesses/SOP/SKILL.md,Business,SOP,0.79,0.95,Low
10-Archive/Legacy-Skills/skills/x-twitter-scraper/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.87,0.0,High
10-Archive/Legacy-Skills/skills/yuv-decks/SKILL.md,AI-Systems/Archive/SKILL.md,AI System,Archive,0.79,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-design-system/SKILL.md,AI-Systems/Uncertain/SKILL.md,AI System,Uncertain,0.98,0.0,High
10-Archive/Legacy-Skills/skills/yuv-pilot/SKILL.md,AI-Systems/Archive/SKILL.md,AI System,Archive,0.98,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-reel-covers/prompts.md,AI-Systems/AI Agent/prompts.md,AI System,AI Agent,0.95,0.79,Low
10-Archive/Legacy-Skills/skills/yuv-reel-covers/README.md,AI-Systems/Uncertain/README.md,AI System,Uncertain,0.87,0.0,High
10-Archive/Legacy-Skills/skills/yuv-reel-covers/SKILL.md,AI-Systems/AI Agent/SKILL.md,AI System,AI Agent,0.98,0.95,Low
10-Archive/Legacy-Skills/skills/yuv-reel-covers/style-spec.md,Archive/Archive/style-spec.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/README.md,AI-Systems/AI Agent/README.md,AI System,AI Agent,0.98,0.87,Low
10-Archive/Legacy-Skills/skills/yuv-video-director/SKILL.md,Review-Queue/Reference/SKILL.md,Uncertain,Reference,0.0,0.87,High
10-Archive/Legacy-Skills/skills/yuv-viral-video/README.md,AI-Systems/Uncertain/README.md,AI System,Uncertain,0.79,0.0,High
10-Archive/Legacy-Skills/skills/yuv-viral-video/SKILL.md,Archive/Archive/SKILL.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-viral-video/references/setup.md,Archive/Archive/setup.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/assets/FRAME.md,Family-Vault/Family/FRAME.md,Shared Family,Family,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/yuv-video-director/references/brand-kit.md,AI-Systems/Archive/brand-kit.md,AI System,Archive,0.95,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/references/cinematic.md,AI-Systems/Uncertain/cinematic.md,AI System,Uncertain,0.79,0.0,High
10-Archive/Legacy-Skills/skills/yuv-video-director/references/composition-pattern.md,Archive/Archive/composition-pattern.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/references/editing.md,AI-Systems/Uncertain/editing.md,AI System,Uncertain,0.87,0.0,High
10-Archive/Legacy-Skills/skills/yuv-video-director/references/frame-md.md,AI-Systems/Archive/frame-md.md,AI System,Archive,0.79,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/references/gates.md,Archive/Archive/gates.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/references/lottie.md,Archive/Archive/lottie.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/references/manim.md,Review-Queue/Template/manim.md,Uncertain,Template,0.0,0.79,High
10-Archive/Legacy-Skills/skills/yuv-video-director/references/prereqs.md,Archive/Archive/prereqs.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-video-director/references/teaser-explainer.md,Archive/Uncertain/teaser-explainer.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/yuv-design-system/references/lessons-learned.md,Family-Vault/Family/lessons-learned.md,Shared Family,Family,0.79,0.79,Low
10-Archive/Legacy-Skills/skills/yuv-design-system/references/palettes-neon.md,AI-Systems/Uncertain/palettes-neon.md,AI System,Uncertain,0.95,0.0,High
10-Archive/Legacy-Skills/skills/yuv-design-system/references/palettes-warm-editorial.md,Archive/Archive/palettes-warm-editorial.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-design-system/references/presentations.md,Review-Queue/Uncertain/presentations.md,Uncertain,Uncertain,0.0,0.0,High
10-Archive/Legacy-Skills/skills/yuv-design-system/references/social-and-links.md,AI-Systems/Uncertain/social-and-links.md,AI System,Uncertain,0.98,0.0,High
10-Archive/Legacy-Skills/skills/yuv-design-system/references/social-images.md,Archive/Uncertain/social-images.md,Archive,Uncertain,0.71,0.0,High
10-Archive/Legacy-Skills/skills/yuv-design-system/references/typography.md,Archive/Archive/typography.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-design-system/references/visuals-and-charts.md,Archive/Archive/visuals-and-charts.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/yuv-design-system/references/web-and-react.md,Family-Vault/Family/web-and-react.md,Shared Family,Family,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/video-to-landing-page/references/design-notes.md,Family-Vault/Family/design-notes.md,Shared Family,Family,0.79,0.79,Low
10-Archive/Legacy-Skills/skills/video-to-landing-page/references/setup.md,Archive/Archive/setup.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/video-edit/references/corrections-hebrew.md,Businesses/Product/corrections-hebrew.md,Business,Product,0.95,0.95,Low
10-Archive/Legacy-Skills/skills/video-edit/references/setup.md,Businesses/Product/setup.md,Business,Product,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/video-edit/references/transcript-review-workflow.md,Businesses/Product/transcript-review-workflow.md,Business,Product,0.95,0.95,Low
10-Archive/Legacy-Skills/skills/video-edit/transcript-editor/README.md,AI-Systems/AI Agent/README.md,AI System,AI Agent,0.98,0.98,Low
10-Archive/Legacy-Skills/skills/parallax-landing-page/references/copy-guide.md,Businesses/Product/copy-guide.md,Business,Product,0.79,0.79,Low
10-Archive/Legacy-Skills/skills/parallax-landing-page/references/showcase-integration.md,Archive/Archive/showcase-integration.md,Archive,Archive,0.71,0.71,Medium
10-Archive/Legacy-Skills/skills/meta-ads/references/analysis-playbooks.md,Review-Queue/SOP/analysis-playbooks.md,Uncertain,SOP,0.0,0.95,High
